iter	Passed	Remaining
163	5125	13626
164	5156	13593
165	5183	13552
166	5208	13503
167	5235	13463
168	5263	13423
169	5288	13377
170	5314	13333
171	5341	13290
172	5369	13252
173	5395	13209
174	5421	13167
175	5449	13128
176	5478	13091
177	5503	13048
178	5530	13006
179	5558	12969
180	5587	12934
181	5617	12901
182	5646	12866
183	5674	12828
184	5703	12794
185	5728	12751
186	5755	12711
187	5784	12676
188	5812	12639
189	5838	12599
190	5866	12562
191	5894	12526
192	5921	12487
193	5951	12455
194	5981	12422
195	6008	12385
196	6034	12345
197	6062	12308
198	6091	12275
199	6118	12237
200	6143	12194
201	6169	12155
202	6198	12121
203	6224	12083
204	6250	12042
205	6279	12011
206	6307	11974
207	6333	11936
208	6363	11904
209	6390	11868
210	6420	11836
211	6447	11799
212	6472	11760
213	6499	11722
214	6529	11691
215	6553	11650
216	6578	11610
217	6606	11576
218	6632	11538
219	6662	11507
220	6689	11471
221	6719	11440
222	6746	11406
223	6774	11372
224	6797	11329
225	6827	11298
226	6856	11265
227	6880	11226
228	6910	11194
229	6936	11158
230	6961	11120
231	6987	11082
232	7011	11044
233	7037	11007
234	7063	10971
235	7086	10929
236	7108	10887
237	7133	10849
238	7157	10811
239	7182	10773
240	7204	10731
241	7228	10692
242	7250	10652
243	7271	10608
244	7296	10572
245	7316	10529
246	7336	10485
247	7360	10447
248	7382	10406
249	7403	10364
250	7427	10328
251	7450	10289
252	7475	10253
253	7498	10215
254	7519	10173
255	7541	10134
256	7564	10095
257	7588	10059
258	7609	10019
259	7631	9979
260	7655	9943
261	7678	9905
262	7698	9865
263	7721	9827
264	7744	9790
265	7765	9751
266	7790	9715
267	7813	9679
268	7837	9644
269	7859	9605
270	7881	9568
271	7905	9533
272	7926	9493
273	7946	9454
274	7966	9415
275	7993	9383
276	8015	9346
277	8037	9309
278	8058	9271
279	8079	9234
280	8104	9200
281	8126	9164
282	8147	9126
283	8168	9088
284	8192	9055
285	8214	9018
286	8237	8983
287	8258	8946
288	8280	8911
289	8302	8875
290	8325	8839
291	8346	8803
292	8368	8768
293	8389	8731
294	8413	8698
295	8435	8663
296	8455	8626
297	8479	8593
298	8501	8558
299	8521	8521
300	8545	8488
301	8566	8453
302	8586	8416
303	8606	8380
304	8629	8346
305	8650	8311
306	8676	8280
307	8699	8247
308	8721	8213
309	8744	8180
310	8765	8145
311	8785	8109
312	8809	8077
313	8832	8044
314	8852	8009
315	8875	7977
316	8898	7944
317	8921	7911
318	8947	7881
319	8972	7851
320	8996	7819
321	9025	7791
322	9048	7759
323	9071	7727
324	9096	7697
325	9118	7664
326	9145	7635
327	9168	7602
328	9190	7570
329	9211	7536
330	9233	7504
331	9257	7473
332	9278	7439
333	9299	7406
334	9321	7373
335	9343	7341
336	9366	7309
337	9388	7277
338	9410	7245
339	9432	7212
340	9454	7180
341	9477	7149
342	9499	7117
343	9521	7085
344	9543	7054
345	9566	7022
346	9588	6990
347	9609	6958
348	9629	6925
349	9652	6894
350	9675	6863
351	9696	6831
352	9725	6805
353	9756	6779
354	9780	6749
355	9802	6718
356	9827	6688
357	9849	6657
358	9869	6625
359	9893	6595
360	9915	6564
361	9935	6532
362	9958	6501
363	9981	6471
364	10001	6439
365	10025	6410
366	10048	6379
367	10070	6348
368	10092	6318
369	10114	6287
370	10135	6255
371	10158	6226
372	10181	6196
373	10203	6165
374	10226	6135
375	10247	6104
376	10269	6074
377	10294	6046
378	10316	6015
379	10339	5986
380	10366	5958
381	10395	5932
382	10421	5904
383	10445	5875
384	10465	5844
385	10489	5815
386	10510	5784
387	10532	5754
388	10556	5725
389	10579	5696
390	10601	5666
391	10625	5637
392	10645	5607
393	10665	5576
394	10689	5547
395	10712	5518
396	10735	5489
397	10758	5460
398	10780	5430
399	10805	5402
400	10828	5373
401	10849	5343
402	10871	5314
403	10893	5285
404	10916	5256
405	10942	5228
406	10963	5198
407	10985	5169
408	11007	5140
409	11030	5111
410	11052	5082
411	11075	5053
412	11095	5023
413	11121	4996
414	11142	4967
415	11164	4938
416	11189	4910
417	11212	4882
418	11237	4854
419	11257	4824
420	11281	4796
421	11304	4768
422	11327	4739
423	11349	4711
424	11373	4683
425	11394	4654
426	11417	4626
427	11440	4597
428	11463	4569
429	11487	4541
430	11511	4513
431	11537	4486
432	11557	4457
433	11581	4429
434	11603	4401
435	11626	4373
436	11651	4345
437	11674	4317
438	11698	4290
439	11720	4262
440	11741	4233
441	11762	4204
442	11785	4176
443	11805	4147
444	11826	4119
445	11850	4091
446	11872	4063
447	11894	4035
448	11916	4007
449	11940	3980
450	11964	3952
451	11984	3924
452	12004	3895
453	12027	3867
454	12050	3840
455	12072	3812
456	12097	3785
457	12119	3757
458	12141	3729
459	12165	3702
460	12188	3674
461	12211	3647
462	12232	3619
463	12253	3591
464	12277	3564
465	12299	3536
466	12322	3509
467	12344	3481
468	12367	3454
469	12391	3427
470	12413	3399
471	12435	3372
472	12460	3345
473	12482	3318
474	12505	3290
475	12527	3263
476	12549	3236
477	12571	3208
478	12594	3181
479	12616	3154
480	12639	3126
481	12662	3099
482	12684	3072
483	12708	3045
484	12730	3018
485	12754	2991
486	12777	2964
487	12799	2937
488	12822	2910
489	12846	2883
490	12870	2857
491	12894	2830
492	12916	2803
493	12942	2777
494	12964	2749
495	12987	2723
496	13010	2696
497	13038	2670
498	13063	2644
499	13092	2618
500	13117	2592
501	13143	2565
502	13170	2539
503	13196	2513
504	13227	2488
505	13259	2463
506	13282	2436
507	13307	2409
508	13328	2382
509	13354	2356
510	13376	2329
511	13399	2303
512	13422	2276
513	13444	2249
514	13469	2223
515	13490	2196
516	13514	2169
517	13537	2143
518	13559	2116
519	13581	2089
520	13603	2062
521	13628	2036
522	13652	2010
523	13674	1983
524	13697	1956
525	13717	1929
526	13740	1903
527	13763	1876
528	13786	1850
529	13807	1823
530	13828	1796
531	13854	1770
532	13884	1745
533	13908	1719
534	13935	1693
535	13963	1667
536	13988	1641
537	14020	1615
538	14049	1589
539	14068	1563
540	14090	1536
541	14113	1510
542	14135	1483
543	14158	1457
544	14180	1431
545	14200	1404
546	14220	1377
547	14243	1351
548	14266	1325
549	14288	1298
550	14312	1272
551	14332	1246
552	14354	1220
553	14378	1193
554	14399	1167
555	14420	1141
556	14442	1114
557	14463	1088
558	14484	1062
559	14507	1036
560	14529	1010
561	14552	983
562	14576	957
563	14597	931
564	14620	905
565	14643	879
566	14665	853
567	14688	827
568	14710	801
569	14731	775
570	14753	749
571	14776	723
572	14796	697
573	14819	671
574	14841	645
575	14862	619
576	14884	593
577	14907	567
578	14928	541
579	14950	515
580	14974	489
581	14994	463
582	15019	437
583	15043	412
584	15064	386
585	15088	360
586	15110	334
587	15130	308
588	15156	283
589	15177	257
590	15200	231
591	15223	205
592	15245	179
593	15267	154
594	15290	128
595	15311	102
596	15334	77
597	15355	51
598	15376	25
599	15402	0
